task_id,household_id,device_id,energy_kwh,duration_min,start_time,end_time,earliest_start,latest_end,max_delay_min,comfort_class
electric_stove_0,family_with_children,electric_stove,1.0,25,2024-01-01 07:40:00,2024-01-01 08:05:00,2024-01-01 07:40:00,2024-01-01 08:05:00,0,none
vacuum_cleaner_1,family_with_children,vacuum_cleaner,0.52,26,2024-01-01 09:20:00,2024-01-01 09:46:00,2024-01-01 09:20:00,2024-01-01 09:46:00,0,none
washing_machine_2,family_with_children,washing_machine,0.45,54,2024-01-01 09:40:00,2024-01-01 10:34:00,2024-01-01 09:40:00,2024-01-01 16:34:00,360,low
washing_machine_3,family_with_children,washing_machine,0.4667,56,2024-01-02 09:40:00,2024-01-02 10:36:00,2024-01-02 09:40:00,2024-01-02 16:36:00,360,low
dishwasher_4,family_with_children,dishwasher,1.72,86,2024-01-02 13:50:00,2024-01-02 15:16:00,2024-01-02 13:50:00,2024-01-03 03:16:00,720,low
washing_machine_5,family_with_children,washing_machine,0.4667,56,2024-01-02 16:10:00,2024-01-02 17:06:00,2024-01-02 16:10:00,2024-01-02 23:06:00,360,low
dryer_6,family_with_children,dryer,2.6,52,2024-01-02 17:20:00,2024-01-02 18:12:00,2024-01-02 17:20:00,2024-01-03 00:12:00,360,low
electric_stove_7,family_with_children,electric_stove,0.88,22,2024-01-02 17:50:00,2024-01-02 18:12:00,2024-01-02 17:50:00,2024-01-02 18:12:00,0,none
dishwasher_8,family_with_children,dishwasher,1.74,87,2024-01-02 22:20:00,2024-01-02 23:47:00,2024-01-02 22:20:00,2024-01-03 11:47:00,720,low
vacuum_cleaner_9,family_with_children,vacuum_cleaner,0.46,23,2024-01-03 15:30:00,2024-01-03 15:53:00,2024-01-03 15:30:00,2024-01-03 15:53:00,0,none
dishwasher_10,family_with_children,dishwasher,1.66,83,2024-01-03 22:30:00,2024-01-03 23:53:00,2024-01-03 22:30:00,2024-01-04 11:53:00,720,low
electric_stove_11,family_with_children,electric_stove,1.04,26,2024-01-04 07:30:00,2024-01-04 07:56:00,2024-01-04 07:30:00,2024-01-04 07:56:00,0,none
washing_machine_12,family_with_children,washing_machine,0.4667,56,2024-01-04 16:50:00,2024-01-04 17:46:00,2024-01-04 16:50:00,2024-01-04 23:46:00,360,low
electric_stove_13,family_with_children,electric_stove,0.96,24,2024-01-04 18:10:00,2024-01-04 18:34:00,2024-01-04 18:10:00,2024-01-04 18:34:00,0,none
oven_14,family_with_children,oven,1.76,44,2024-01-04 18:40:00,2024-01-04 19:24:00,2024-01-04 18:40:00,2024-01-04 19:24:00,0,none
dryer_15,family_with_children,dryer,2.3,46,2024-01-04 20:10:00,2024-01-04 20:56:00,2024-01-04 20:10:00,2024-01-05 02:56:00,360,low
dishwasher_16,family_with_children,dishwasher,2.02,101,2024-01-04 22:20:00,2024-01-05 00:01:00,2024-01-04 22:20:00,2024-01-05 12:01:00,720,low
vacuum_cleaner_17,family_with_children,vacuum_cleaner,0.6,30,2024-01-05 11:00:00,2024-01-05 11:30:00,2024-01-05 11:00:00,2024-01-05 11:30:00,0,none
washing_machine_18,family_with_children,washing_machine,0.3667,44,2024-01-05 14:00:00,2024-01-05 14:44:00,2024-01-05 14:00:00,2024-01-05 20:44:00,360,low
vacuum_cleaner_19,family_with_children,vacuum_cleaner,0.42,21,2024-01-05 14:40:00,2024-01-05 15:01:00,2024-01-05 14:40:00,2024-01-05 15:01:00,0,none
dryer_20,family_with_children,dryer,1.8,36,2024-01-05 17:00:00,2024-01-05 17:36:00,2024-01-05 17:00:00,2024-01-05 23:36:00,360,low
dishwasher_21,family_with_children,dishwasher,1.74,87,2024-01-05 20:20:00,2024-01-05 21:47:00,2024-01-05 20:20:00,2024-01-06 09:47:00,720,low
dishwasher_22,family_with_children,dishwasher,1.96,98,2024-01-06 12:20:00,2024-01-06 13:58:00,2024-01-06 12:20:00,2024-01-07 01:58:00,720,low
oven_23,family_with_children,oven,1.8,45,2024-01-06 17:20:00,2024-01-06 18:05:00,2024-01-06 17:20:00,2024-01-06 18:05:00,0,none
electric_stove_24,family_with_children,electric_stove,1.08,27,2024-01-06 17:50:00,2024-01-06 18:17:00,2024-01-06 17:50:00,2024-01-06 18:17:00,0,none
washing_machine_25,family_with_children,washing_machine,0.4917,59,2024-01-06 19:00:00,2024-01-06 19:59:00,2024-01-06 19:00:00,2024-01-07 01:59:00,360,low
dryer_26,family_with_children,dryer,1.95,39,2024-01-06 20:30:00,2024-01-06 21:09:00,2024-01-06 20:30:00,2024-01-07 03:09:00,360,low
electric_stove_27,family_with_children,electric_stove,0.72,18,2024-01-07 12:50:00,2024-01-07 13:08:00,2024-01-07 12:50:00,2024-01-07 13:08:00,0,none
oven_28,family_with_children,oven,1.84,46,2024-01-07 17:00:00,2024-01-07 17:46:00,2024-01-07 17:00:00,2024-01-07 17:46:00,0,none
washing_machine_29,family_with_children,washing_machine,0.5,60,2024-01-08 11:00:00,2024-01-08 12:00:00,2024-01-08 11:00:00,2024-01-08 18:00:00,360,low
electric_stove_30,family_with_children,electric_stove,0.88,22,2024-01-08 17:00:00,2024-01-08 17:22:00,2024-01-08 17:00:00,2024-01-08 17:22:00,0,none
electric_stove_31,family_with_children,electric_stove,0.88,22,2024-01-09 12:50:00,2024-01-09 13:12:00,2024-01-09 12:50:00,2024-01-09 13:12:00,0,none
washing_machine_32,family_with_children,washing_machine,0.5,60,2024-01-09 14:20:00,2024-01-09 15:20:00,2024-01-09 14:20:00,2024-01-09 21:20:00,360,low
vacuum_cleaner_33,family_with_children,vacuum_cleaner,0.58,29,2024-01-09 15:00:00,2024-01-09 15:29:00,2024-01-09 15:00:00,2024-01-09 15:29:00,0,none
washing_machine_34,family_with_children,washing_machine,0.425,51,2024-01-09 16:50:00,2024-01-09 17:41:00,2024-01-09 16:50:00,2024-01-09 23:41:00,360,low
dryer_35,family_with_children,dryer,2.35,47,2024-01-09 19:50:00,2024-01-09 20:37:00,2024-01-09 19:50:00,2024-01-10 02:37:00,360,low
dishwasher_36,family_with_children,dishwasher,1.92,96,2024-01-09 22:50:00,2024-01-10 00:26:00,2024-01-09 22:50:00,2024-01-10 12:26:00,720,low
electric_stove_37,family_with_children,electric_stove,1.0,25,2024-01-10 07:50:00,2024-01-10 08:15:00,2024-01-10 07:50:00,2024-01-10 08:15:00,0,none
electric_stove_38,family_with_children,electric_stove,1.08,27,2024-01-10 12:10:00,2024-01-10 12:37:00,2024-01-10 12:10:00,2024-01-10 12:37:00,0,none
washing_machine_39,family_with_children,washing_machine,0.4417,53,2024-01-10 20:50:00,2024-01-10 21:43:00,2024-01-10 20:50:00,2024-01-11 03:43:00,360,low
dishwasher_40,family_with_children,dishwasher,1.94,97,2024-01-10 21:50:00,2024-01-10 23:27:00,2024-01-10 21:50:00,2024-01-11 11:27:00,720,low
dryer_41,family_with_children,dryer,2.8,56,2024-01-10 23:30:00,2024-01-11 00:26:00,2024-01-10 23:30:00,2024-01-11 06:26:00,360,low
