task_id,household_id,device_id,energy_kwh,duration_min,start_time,end_time,earliest_start,latest_end,max_delay_min,comfort_class
dishwasher_0,large_family,dishwasher,1.66,83,2024-01-01 09:10:00,2024-01-01 10:33:00,2024-01-01 09:10:00,2024-01-01 22:33:00,720,low
vacuum_cleaner_1,large_family,vacuum_cleaner,0.5,25,2024-01-01 11:00:00,2024-01-01 11:25:00,2024-01-01 11:00:00,2024-01-01 11:25:00,0,none
electric_stove_2,large_family,electric_stove,1.04,26,2024-01-01 12:10:00,2024-01-01 12:36:00,2024-01-01 12:10:00,2024-01-01 12:36:00,0,none
washing_machine_3,large_family,washing_machine,0.4,48,2024-01-01 17:20:00,2024-01-01 18:08:00,2024-01-01 17:20:00,2024-01-02 00:08:00,360,low
oven_4,large_family,oven,1.52,38,2024-01-01 18:40:00,2024-01-01 19:18:00,2024-01-01 18:40:00,2024-01-01 19:18:00,0,none
dryer_5,large_family,dryer,2.35,47,2024-01-01 20:00:00,2024-01-01 20:47:00,2024-01-01 20:00:00,2024-01-02 02:47:00,360,low
washing_machine_6,large_family,washing_machine,0.4083,49,2024-01-01 21:00:00,2024-01-01 21:49:00,2024-01-01 21:00:00,2024-01-02 03:49:00,360,low
dryer_7,large_family,dryer,2.6,52,2024-01-02 01:10:00,2024-01-02 02:02:00,2024-01-02 01:10:00,2024-01-02 08:02:00,360,low
electric_stove_8,large_family,electric_stove,1.0,25,2024-01-02 13:00:00,2024-01-02 13:25:00,2024-01-02 13:00:00,2024-01-02 13:25:00,0,none
dishwasher_9,large_family,dishwasher,1.94,97,2024-01-02 14:20:00,2024-01-02 15:57:00,2024-01-02 14:20:00,2024-01-03 03:57:00,720,low
washing_machine_10,large_family,washing_machine,0.475,57,2024-01-02 18:20:00,2024-01-02 19:17:00,2024-01-02 18:20:00,2024-01-03 01:17:00,360,low
electric_stove_11,large_family,electric_stove,1.04,26,2024-01-02 18:40:00,2024-01-02 19:06:00,2024-01-02 18:40:00,2024-01-02 19:06:00,0,none
washing_machine_12,large_family,washing_machine,0.5083,61,2024-01-02 21:30:00,2024-01-02 22:31:00,2024-01-02 21:30:00,2024-01-03 04:31:00,360,low
dishwasher_13,large_family,dishwasher,1.98,99,2024-01-02 21:30:00,2024-01-02 23:09:00,2024-01-02 21:30:00,2024-01-03 11:09:00,720,low
electric_stove_14,large_family,electric_stove,1.0,25,2024-01-02 21:50:00,2024-01-02 22:15:00,2024-01-02 21:50:00,2024-01-02 22:15:00,0,none
dryer_15,large_family,dryer,2.5,50,2024-01-02 23:20:00,2024-01-03 00:10:00,2024-01-02 23:20:00,2024-01-03 06:10:00,360,low
dishwasher_16,large_family,dishwasher,1.72,86,2024-01-03 13:10:00,2024-01-03 14:36:00,2024-01-03 13:10:00,2024-01-04 02:36:00,720,low
oven_17,large_family,oven,1.84,46,2024-01-03 18:40:00,2024-01-03 19:26:00,2024-01-03 18:40:00,2024-01-03 19:26:00,0,none
dishwasher_18,large_family,dishwasher,1.58,79,2024-01-04 09:40:00,2024-01-04 10:59:00,2024-01-04 09:40:00,2024-01-04 22:59:00,720,low
washing_machine_19,large_family,washing_machine,0.475,57,2024-01-04 16:10:00,2024-01-04 17:07:00,2024-01-04 16:10:00,2024-01-04 23:07:00,360,low
dryer_20,large_family,dryer,2.1,42,2024-01-04 17:30:00,2024-01-04 18:12:00,2024-01-04 17:30:00,2024-01-05 00:12:00,360,low
vacuum_cleaner_21,large_family,vacuum_cleaner,0.54,27,2024-01-04 18:20:00,2024-01-04 18:47:00,2024-01-04 18:20:00,2024-01-04 18:47:00,0,none
oven_22,large_family,oven,1.76,44,2024-01-04 18:40:00,2024-01-04 19:24:00,2024-01-04 18:40:00,2024-01-04 19:24:00,0,none
electric_stove_23,large_family,electric_stove,0.88,22,2024-01-04 19:50:00,2024-01-04 20:12:00,2024-01-04 19:50:00,2024-01-04 20:12:00,0,none
electric_stove_24,large_family,electric_stove,0.96,24,2024-01-05 07:40:00,2024-01-05 08:04:00,2024-01-05 07:40:00,2024-01-05 08:04:00,0,none
dishwasher_25,large_family,dishwasher,1.72,86,2024-01-05 08:30:00,2024-01-05 09:56:00,2024-01-05 08:30:00,2024-01-05 21:56:00,720,low
electric_stove_26,large_family,electric_stove,1.04,26,2024-01-05 12:00:00,2024-01-05 12:26:00,2024-01-05 12:00:00,2024-01-05 12:26:00,0,none
washing_machine_27,large_family,washing_machine,0.4917,59,2024-01-05 16:40:00,2024-01-05 17:39:00,2024-01-05 16:40:00,2024-01-05 23:39:00,360,low
oven_28,large_family,oven,1.8,45,2024-01-05 17:20:00,2024-01-05 18:05:00,2024-01-05 17:20:00,2024-01-05 18:05:00,0,none
dryer_29,large_family,dryer,3.1,62,2024-01-05 18:30:00,2024-01-05 19:32:00,2024-01-05 18:30:00,2024-01-06 01:32:00,360,low
electric_stove_30,large_family,electric_stove,0.84,21,2024-01-05 19:00:00,2024-01-05 19:21:00,2024-01-05 19:00:00,2024-01-05 19:21:00,0,none
oven_31,large_family,oven,1.8,45,2024-01-05 19:50:00,2024-01-05 20:35:00,2024-01-05 19:50:00,2024-01-05 20:35:00,0,none
