task_id,household_id,device_id,energy_kwh,duration_min,start_time,end_time,earliest_start,latest_end,max_delay_min,comfort_class
electric_stove_0,retired_couple,electric_stove,1.08,27,2024-01-02 08:50:00,2024-01-02 09:17:00,2024-01-02 08:50:00,2024-01-02 09:17:00,0,none
vacuum_cleaner_1,retired_couple,vacuum_cleaner,0.5,25,2024-01-02 11:00:00,2024-01-02 11:25:00,2024-01-02 11:00:00,2024-01-02 11:25:00,0,none
washing_machine_2,retired_couple,washing_machine,0.55,66,2024-01-02 14:00:00,2024-01-02 15:06:00,2024-01-02 14:00:00,2024-01-02 21:06:00,360,low
dryer_3,retired_couple,dryer,2.55,51,2024-01-02 18:30:00,2024-01-02 19:21:00,2024-01-02 18:30:00,2024-01-03 01:21:00,360,low
vacuum_cleaner_4,retired_couple,vacuum_cleaner,0.46,23,2024-01-04 10:00:00,2024-01-04 10:23:00,2024-01-04 10:00:00,2024-01-04 10:23:00,0,none
washing_machine_5,retired_couple,washing_machine,0.5083,61,2024-01-04 10:10:00,2024-01-04 11:11:00,2024-01-04 10:10:00,2024-01-04 17:11:00,360,low
dishwasher_6,retired_couple,dishwasher,1.96,98,2024-01-04 13:40:00,2024-01-04 15:18:00,2024-01-04 13:40:00,2024-01-05 03:18:00,720,low
electric_stove_7,retired_couple,electric_stove,1.04,26,2024-01-04 18:10:00,2024-01-04 18:36:00,2024-01-04 18:10:00,2024-01-04 18:36:00,0,none
electric_stove_8,retired_couple,electric_stove,1.08,27,2024-01-04 21:10:00,2024-01-04 21:37:00,2024-01-04 21:10:00,2024-01-04 21:37:00,0,none
electric_stove_9,retired_couple,electric_stove,0.96,24,2024-01-05 08:20:00,2024-01-05 08:44:00,2024-01-05 08:20:00,2024-01-05 08:44:00,0,none
washing_machine_10,retired_couple,washing_machine,0.4917,59,2024-01-05 09:40:00,2024-01-05 10:39:00,2024-01-05 09:40:00,2024-01-05 16:39:00,360,low
dryer_11,retired_couple,dryer,2.45,49,2024-01-05 11:30:00,2024-01-05 12:19:00,2024-01-05 11:30:00,2024-01-05 18:19:00,360,low
dishwasher_12,retired_couple,dishwasher,1.78,89,2024-01-05 19:40:00,2024-01-05 21:09:00,2024-01-05 19:40:00,2024-01-06 09:09:00,720,low
electric_stove_13,retired_couple,electric_stove,0.84,21,2024-01-06 08:20:00,2024-01-06 08:41:00,2024-01-06 08:20:00,2024-01-06 08:41:00,0,none
electric_stove_14,retired_couple,electric_stove,1.12,28,2024-01-07 08:10:00,2024-01-07 08:38:00,2024-01-07 08:10:00,2024-01-07 08:38:00,0,none
vacuum_cleaner_15,retired_couple,vacuum_cleaner,0.58,29,2024-01-08 09:10:00,2024-01-08 09:39:00,2024-01-08 09:10:00,2024-01-08 09:39:00,0,none
electric_stove_16,retired_couple,electric_stove,0.96,24,2024-01-09 12:30:00,2024-01-09 12:54:00,2024-01-09 12:30:00,2024-01-09 12:54:00,0,none
dishwasher_17,retired_couple,dishwasher,1.94,97,2024-01-09 12:50:00,2024-01-09 14:27:00,2024-01-09 12:50:00,2024-01-10 02:27:00,720,low
washing_machine_18,retired_couple,washing_machine,0.4667,56,2024-01-09 13:20:00,2024-01-09 14:16:00,2024-01-09 13:20:00,2024-01-09 20:16:00,360,low
dryer_19,retired_couple,dryer,2.25,45,2024-01-09 15:30:00,2024-01-09 16:15:00,2024-01-09 15:30:00,2024-01-09 22:15:00,360,low
washing_machine_20,retired_couple,washing_machine,0.3667,44,2024-01-09 15:50:00,2024-01-09 16:34:00,2024-01-09 15:50:00,2024-01-09 22:34:00,360,low
dryer_21,retired_couple,dryer,2.6,52,2024-01-09 18:00:00,2024-01-09 18:52:00,2024-01-09 18:00:00,2024-01-10 00:52:00,360,low
electric_stove_22,retired_couple,electric_stove,1.0,25,2024-01-09 18:30:00,2024-01-09 18:55:00,2024-01-09 18:30:00,2024-01-09 18:55:00,0,none
electric_stove_23,retired_couple,electric_stove,0.96,24,2024-01-09 21:10:00,2024-01-09 21:34:00,2024-01-09 21:10:00,2024-01-09 21:34:00,0,none
electric_stove_24,retired_couple,electric_stove,0.96,24,2024-01-10 08:50:00,2024-01-10 09:14:00,2024-01-10 08:50:00,2024-01-10 09:14:00,0,none
electric_stove_25,retired_couple,electric_stove,1.08,27,2024-01-10 12:00:00,2024-01-10 12:27:00,2024-01-10 12:00:00,2024-01-10 12:27:00,0,none
electric_stove_26,retired_couple,electric_stove,0.96,24,2024-01-10 17:20:00,2024-01-10 17:44:00,2024-01-10 17:20:00,2024-01-10 17:44:00,0,none
dishwasher_27,retired_couple,dishwasher,1.98,99,2024-01-11 13:50:00,2024-01-11 15:29:00,2024-01-11 13:50:00,2024-01-12 03:29:00,720,low
vacuum_cleaner_28,retired_couple,vacuum_cleaner,0.4,20,2024-01-12 11:00:00,2024-01-12 11:20:00,2024-01-12 11:00:00,2024-01-12 11:20:00,0,none
electric_stove_29,retired_couple,electric_stove,1.04,26,2024-01-12 18:10:00,2024-01-12 18:36:00,2024-01-12 18:10:00,2024-01-12 18:36:00,0,none
electric_stove_30,retired_couple,electric_stove,0.88,22,2024-01-14 18:00:00,2024-01-14 18:22:00,2024-01-14 18:00:00,2024-01-14 18:22:00,0,none
electric_stove_31,retired_couple,electric_stove,1.0,25,2024-01-14 22:50:00,2024-01-14 23:15:00,2024-01-14 22:50:00,2024-01-14 23:15:00,0,none
electric_stove_32,retired_couple,electric_stove,1.0,25,2024-01-15 08:50:00,2024-01-15 09:15:00,2024-01-15 08:50:00,2024-01-15 09:15:00,0,none
electric_stove_33,retired_couple,electric_stove,0.92,23,2024-01-15 12:40:00,2024-01-15 13:03:00,2024-01-15 12:40:00,2024-01-15 13:03:00,0,none
washing_machine_34,retired_couple,washing_machine,0.525,63,2024-01-15 14:20:00,2024-01-15 15:23:00,2024-01-15 14:20:00,2024-01-15 21:23:00,360,low
dryer_35,retired_couple,dryer,2.6,52,2024-01-15 18:40:00,2024-01-15 19:32:00,2024-01-15 18:40:00,2024-01-16 01:32:00,360,low
electric_stove_36,retired_couple,electric_stove,1.08,27,2024-01-15 18:50:00,2024-01-15 19:17:00,2024-01-15 18:50:00,2024-01-15 19:17:00,0,none
dishwasher_37,retired_couple,dishwasher,1.44,72,2024-01-15 19:30:00,2024-01-15 20:42:00,2024-01-15 19:30:00,2024-01-16 08:42:00,720,low
vacuum_cleaner_38,retired_couple,vacuum_cleaner,0.44,22,2024-01-16 10:30:00,2024-01-16 10:52:00,2024-01-16 10:30:00,2024-01-16 10:52:00,0,none
washing_machine_39,retired_couple,washing_machine,0.4583,55,2024-01-16 15:50:00,2024-01-16 16:45:00,2024-01-16 15:50:00,2024-01-16 22:45:00,360,low
dryer_40,retired_couple,dryer,2.35,47,2024-01-16 18:20:00,2024-01-16 19:07:00,2024-01-16 18:20:00,2024-01-17 01:07:00,360,low
washing_machine_41,retired_couple,washing_machine,0.3917,47,2024-01-16 20:20:00,2024-01-16 21:07:00,2024-01-16 20:20:00,2024-01-17 03:07:00,360,low
dryer_42,retired_couple,dryer,2.45,49,2024-01-16 23:00:00,2024-01-16 23:49:00,2024-01-16 23:00:00,2024-01-17 05:49:00,360,low
electric_stove_43,retired_couple,electric_stove,0.92,23,2024-01-18 08:10:00,2024-01-18 08:33:00,2024-01-18 08:10:00,2024-01-18 08:33:00,0,none
washing_machine_44,retired_couple,washing_machine,0.4667,56,2024-01-18 14:40:00,2024-01-18 15:36:00,2024-01-18 14:40:00,2024-01-18 21:36:00,360,low
electric_stove_45,retired_couple,electric_stove,0.96,24,2024-01-19 12:30:00,2024-01-19 12:54:00,2024-01-19 12:30:00,2024-01-19 12:54:00,0,none
electric_stove_46,retired_couple,electric_stove,0.84,21,2024-01-19 18:10:00,2024-01-19 18:31:00,2024-01-19 18:10:00,2024-01-19 18:31:00,0,none
electric_stove_47,retired_couple,electric_stove,1.04,26,2024-01-20 08:30:00,2024-01-20 08:56:00,2024-01-20 08:30:00,2024-01-20 08:56:00,0,none
electric_stove_48,retired_couple,electric_stove,0.92,23,2024-01-20 12:10:00,2024-01-20 12:33:00,2024-01-20 12:10:00,2024-01-20 12:33:00,0,none
electric_stove_49,retired_couple,electric_stove,1.16,29,2024-01-20 18:20:00,2024-01-20 18:49:00,2024-01-20 18:20:00,2024-01-20 18:49:00,0,none
electric_stove_50,retired_couple,electric_stove,0.92,23,2024-01-21 18:00:00,2024-01-21 18:23:00,2024-01-21 18:00:00,2024-01-21 18:23:00,0,none
dishwasher_51,retired_couple,dishwasher,1.86,93,2024-01-21 19:00:00,2024-01-21 20:33:00,2024-01-21 19:00:00,2024-01-22 08:33:00,720,low
electric_stove_52,retired_couple,electric_stove,1.04,26,2024-01-22 08:40:00,2024-01-22 09:06:00,2024-01-22 08:40:00,2024-01-22 09:06:00,0,none
washing_machine_53,retired_couple,washing_machine,0.5167,62,2024-01-22 10:50:00,2024-01-22 11:52:00,2024-01-22 10:50:00,2024-01-22 17:52:00,360,low
electric_stove_54,retired_couple,electric_stove,1.04,26,2024-01-22 12:40:00,2024-01-22 13:06:00,2024-01-22 12:40:00,2024-01-22 13:06:00,0,none
dryer_55,retired_couple,dryer,2.5,50,2024-01-22 14:00:00,2024-01-22 14:50:00,2024-01-22 14:00:00,2024-01-22 20:50:00,360,low
washing_machine_56,retired_couple,washing_machine,0.4667,56,2024-01-22 15:20:00,2024-01-22 16:16:00,2024-01-22 15:20:00,2024-01-22 22:16:00,360,low
dryer_57,retired_couple,dryer,2.35,47,2024-01-22 19:40:00,2024-01-22 20:27:00,2024-01-22 19:40:00,2024-01-23 02:27:00,360,low
washing_machine_58,retired_couple,washing_machine,0.5083,61,2024-01-23 13:50:00,2024-01-23 14:51:00,2024-01-23 13:50:00,2024-01-23 20:51:00,360,low
dishwasher_59,retired_couple,dishwasher,1.96,98,2024-01-23 20:40:00,2024-01-23 22:18:00,2024-01-23 20:40:00,2024-01-24 10:18:00,720,low
electric_stove_60,retired_couple,electric_stove,0.88,22,2024-01-24 12:40:00,2024-01-24 13:02:00,2024-01-24 12:40:00,2024-01-24 13:02:00,0,none
electric_stove_61,retired_couple,electric_stove,0.96,24,2024-01-24 17:50:00,2024-01-24 18:14:00,2024-01-24 17:50:00,2024-01-24 18:14:00,0,none
electric_stove_62,retired_couple,electric_stove,0.96,24,2024-01-25 08:50:00,2024-01-25 09:14:00,2024-01-25 08:50:00,2024-01-25 09:14:00,0,none
