task_id,household_id,device_id,energy_kwh,duration_min,start_time,end_time,earliest_start,latest_end,max_delay_min,comfort_class
dishwasher_0,young_couple,dishwasher,1.78,89,2024-01-01 22:30:00,2024-01-01 23:59:00,2024-01-01 22:30:00,2024-01-02 11:59:00,720,low
ev_charger_level2_1,young_couple,ev_charger_level2,19.44,162,2024-01-02 02:20:00,2024-01-02 05:02:00,2024-01-02 02:20:00,2024-01-02 13:02:00,480,medium
electric_stove_2,young_couple,electric_stove,0.96,24,2024-01-02 18:50:00,2024-01-02 19:14:00,2024-01-02 18:50:00,2024-01-02 19:14:00,0,none
ev_charger_level2_3,young_couple,ev_charger_level2,20.16,168,2024-01-02 20:10:00,2024-01-02 22:58:00,2024-01-02 20:10:00,2024-01-03 06:58:00,480,medium
ev_charger_level2_4,young_couple,ev_charger_level2,21.6,180,2024-01-04 02:50:00,2024-01-04 05:50:00,2024-01-04 02:50:00,2024-01-04 13:50:00,480,medium
washing_machine_5,young_couple,washing_machine,0.575,69,2024-01-04 10:20:00,2024-01-04 11:29:00,2024-01-04 10:20:00,2024-01-04 17:29:00,360,low
dryer_6,young_couple,dryer,2.6,52,2024-01-04 13:00:00,2024-01-04 13:52:00,2024-01-04 13:00:00,2024-01-04 19:52:00,360,low
electric_stove_7,young_couple,electric_stove,1.04,26,2024-01-04 18:10:00,2024-01-04 18:36:00,2024-01-04 18:10:00,2024-01-04 18:36:00,0,none
electric_stove_8,young_couple,electric_stove,0.88,22,2024-01-04 19:50:00,2024-01-04 20:12:00,2024-01-04 19:50:00,2024-01-04 20:12:00,0,none
electric_stove_9,young_couple,electric_stove,1.0,25,2024-01-05 19:30:00,2024-01-05 19:55:00,2024-01-05 19:30:00,2024-01-05 19:55:00,0,none
dishwasher_10,young_couple,dishwasher,1.88,94,2024-01-05 22:00:00,2024-01-05 23:34:00,2024-01-05 22:00:00,2024-01-06 11:34:00,720,low
ev_charger_level2_11,young_couple,ev_charger_level2,22.32,186,2024-01-06 00:00:00,2024-01-06 03:06:00,2024-01-06 00:00:00,2024-01-06 11:06:00,480,medium
vacuum_cleaner_12,young_couple,vacuum_cleaner,0.52,26,2024-01-06 13:30:00,2024-01-06 13:56:00,2024-01-06 13:30:00,2024-01-06 13:56:00,0,none
electric_stove_13,young_couple,electric_stove,0.92,23,2024-01-06 18:00:00,2024-01-06 18:23:00,2024-01-06 18:00:00,2024-01-06 18:23:00,0,none
washing_machine_14,young_couple,washing_machine,0.4917,59,2024-01-06 18:40:00,2024-01-06 19:39:00,2024-01-06 18:40:00,2024-01-07 01:39:00,360,low
electric_stove_15,young_couple,electric_stove,1.0,25,2024-01-06 19:50:00,2024-01-06 20:15:00,2024-01-06 19:50:00,2024-01-06 20:15:00,0,none
dryer_16,young_couple,dryer,2.45,49,2024-01-06 20:50:00,2024-01-06 21:39:00,2024-01-06 20:50:00,2024-01-07 03:39:00,360,low
dishwasher_17,young_couple,dishwasher,1.8,90,2024-01-06 22:50:00,2024-01-07 00:20:00,2024-01-06 22:50:00,2024-01-07 12:20:00,720,low
electric_stove_18,young_couple,electric_stove,0.8,20,2024-01-07 18:10:00,2024-01-07 18:30:00,2024-01-07 18:10:00,2024-01-07 18:30:00,0,none
oven_19,young_couple,oven,1.36,34,2024-01-07 18:30:00,2024-01-07 19:04:00,2024-01-07 18:30:00,2024-01-07 19:04:00,0,none
ev_charger_level2_20,young_couple,ev_charger_level2,19.32,161,2024-01-08 03:50:00,2024-01-08 06:31:00,2024-01-08 03:50:00,2024-01-08 14:31:00,480,medium
electric_stove_21,young_couple,electric_stove,0.96,24,2024-01-08 19:50:00,2024-01-08 20:14:00,2024-01-08 19:50:00,2024-01-08 20:14:00,0,none
ev_charger_level2_22,young_couple,ev_charger_level2,20.16,168,2024-01-08 20:30:00,2024-01-08 23:18:00,2024-01-08 20:30:00,2024-01-09 07:18:00,480,medium
washing_machine_23,young_couple,washing_machine,0.475,57,2024-01-08 21:30:00,2024-01-08 22:27:00,2024-01-08 21:30:00,2024-01-09 04:27:00,360,low
dryer_24,young_couple,dryer,2.4,48,2024-01-08 22:50:00,2024-01-08 23:38:00,2024-01-08 22:50:00,2024-01-09 05:38:00,360,low
ev_charger_level2_25,young_couple,ev_charger_level2,18.6,155,2024-01-09 00:00:00,2024-01-09 02:35:00,2024-01-09 00:00:00,2024-01-09 10:35:00,480,medium
dishwasher_26,young_couple,dishwasher,1.84,92,2024-01-09 20:00:00,2024-01-09 21:32:00,2024-01-09 20:00:00,2024-01-10 09:32:00,720,low
electric_stove_27,young_couple,electric_stove,1.08,27,2024-01-10 19:00:00,2024-01-10 19:27:00,2024-01-10 19:00:00,2024-01-10 19:27:00,0,none
electric_stove_28,young_couple,electric_stove,1.08,27,2024-01-11 18:10:00,2024-01-11 18:37:00,2024-01-11 18:10:00,2024-01-11 18:37:00,0,none
washing_machine_29,young_couple,washing_machine,0.5083,61,2024-01-12 11:10:00,2024-01-12 12:11:00,2024-01-12 11:10:00,2024-01-12 18:11:00,360,low
dryer_30,young_couple,dryer,2.25,45,2024-01-12 13:00:00,2024-01-12 13:45:00,2024-01-12 13:00:00,2024-01-12 19:45:00,360,low
vacuum_cleaner_31,young_couple,vacuum_cleaner,0.44,22,2024-01-13 11:40:00,2024-01-13 12:02:00,2024-01-13 11:40:00,2024-01-13 12:02:00,0,none
electric_stove_32,young_couple,electric_stove,1.04,26,2024-01-13 19:50:00,2024-01-13 20:16:00,2024-01-13 19:50:00,2024-01-13 20:16:00,0,none
ev_charger_level2_33,young_couple,ev_charger_level2,20.88,174,2024-01-13 22:50:00,2024-01-14 01:44:00,2024-01-13 22:50:00,2024-01-14 09:44:00,480,medium
oven_34,young_couple,oven,1.92,48,2024-01-14 18:00:00,2024-01-14 18:48:00,2024-01-14 18:00:00,2024-01-14 18:48:00,0,none
electric_stove_35,young_couple,electric_stove,0.96,24,2024-01-14 19:20:00,2024-01-14 19:44:00,2024-01-14 19:20:00,2024-01-14 19:44:00,0,none
washing_machine_36,young_couple,washing_machine,0.475,57,2024-01-14 21:00:00,2024-01-14 21:57:00,2024-01-14 21:00:00,2024-01-15 03:57:00,360,low
dishwasher_37,young_couple,dishwasher,1.64,82,2024-01-14 21:40:00,2024-01-14 23:02:00,2024-01-14 21:40:00,2024-01-15 11:02:00,720,low
dryer_38,young_couple,dryer,2.6,52,2024-01-14 23:20:00,2024-01-15 00:12:00,2024-01-14 23:20:00,2024-01-15 06:12:00,360,low
oven_39,young_couple,oven,1.6,40,2024-01-15 19:20:00,2024-01-15 20:00:00,2024-01-15 19:20:00,2024-01-15 20:00:00,0,none
electric_stove_40,young_couple,electric_stove,0.96,24,2024-01-15 19:30:00,2024-01-15 19:54:00,2024-01-15 19:30:00,2024-01-15 19:54:00,0,none
dishwasher_41,young_couple,dishwasher,1.72,86,2024-01-15 20:10:00,2024-01-15 21:36:00,2024-01-15 20:10:00,2024-01-16 09:36:00,720,low
electric_stove_42,young_couple,electric_stove,0.96,24,2024-01-16 19:10:00,2024-01-16 19:34:00,2024-01-16 19:10:00,2024-01-16 19:34:00,0,none
ev_charger_level2_43,young_couple,ev_charger_level2,21.0,175,2024-01-17 22:10:00,2024-01-18 01:05:00,2024-01-17 22:10:00,2024-01-18 09:05:00,480,medium
dishwasher_44,young_couple,dishwasher,2.12,106,2024-01-18 21:20:00,2024-01-18 23:06:00,2024-01-18 21:20:00,2024-01-19 11:06:00,720,low
washing_machine_45,young_couple,washing_machine,0.5083,61,2024-01-19 19:10:00,2024-01-19 20:11:00,2024-01-19 19:10:00,2024-01-20 02:11:00,360,low
electric_stove_46,young_couple,electric_stove,1.08,27,2024-01-19 19:20:00,2024-01-19 19:47:00,2024-01-19 19:20:00,2024-01-19 19:47:00,0,none
dishwasher_47,young_couple,dishwasher,2.12,106,2024-01-19 21:10:00,2024-01-19 22:56:00,2024-01-19 21:10:00,2024-01-20 10:56:00,720,low
dryer_48,young_couple,dryer,2.55,51,2024-01-19 21:30:00,2024-01-19 22:21:00,2024-01-19 21:30:00,2024-01-20 04:21:00,360,low
ev_charger_level2_49,young_couple,ev_charger_level2,21.24,177,2024-01-20 00:20:00,2024-01-20 03:17:00,2024-01-20 00:20:00,2024-01-20 11:17:00,480,medium
ev_charger_level2_50,young_couple,ev_charger_level2,23.64,197,2024-01-20 05:30:00,2024-01-20 08:47:00,2024-01-20 05:30:00,2024-01-20 16:47:00,480,medium
washing_machine_51,young_couple,washing_machine,0.4417,53,2024-01-20 09:30:00,2024-01-20 10:23:00,2024-01-20 09:30:00,2024-01-20 16:23:00,360,low
dryer_52,young_couple,dryer,2.45,49,2024-01-20 11:20:00,2024-01-20 12:09:00,2024-01-20 11:20:00,2024-01-20 18:09:00,360,low
electric_stove_53,young_couple,electric_stove,1.04,26,2024-01-20 18:20:00,2024-01-20 18:46:00,2024-01-20 18:20:00,2024-01-20 18:46:00,0,none
oven_54,young_couple,oven,1.92,48,2024-01-20 18:40:00,2024-01-20 19:28:00,2024-01-20 18:40:00,2024-01-20 19:28:00,0,none
vacuum_cleaner_55,young_couple,vacuum_cleaner,0.42,21,2024-01-21 13:20:00,2024-01-21 13:41:00,2024-01-21 13:20:00,2024-01-21 13:41:00,0,none
oven_56,young_couple,oven,1.72,43,2024-01-21 19:20:00,2024-01-21 20:03:00,2024-01-21 19:20:00,2024-01-21 20:03:00,0,none
electric_stove_57,young_couple,electric_stove,0.84,21,2024-01-21 19:40:00,2024-01-21 20:01:00,2024-01-21 19:40:00,2024-01-21 20:01:00,0,none
dishwasher_58,young_couple,dishwasher,2.0,100,2024-01-21 21:40:00,2024-01-21 23:20:00,2024-01-21 21:40:00,2024-01-22 11:20:00,720,low
ev_charger_level2_59,young_couple,ev_charger_level2,23.52,196,2024-01-22 05:00:00,2024-01-22 08:16:00,2024-01-22 05:00:00,2024-01-22 16:16:00,480,medium
oven_60,young_couple,oven,1.96,49,2024-01-22 18:20:00,2024-01-22 19:09:00,2024-01-22 18:20:00,2024-01-22 19:09:00,0,none
electric_stove_61,young_couple,electric_stove,1.12,28,2024-01-22 19:30:00,2024-01-22 19:58:00,2024-01-22 19:30:00,2024-01-22 19:58:00,0,none
electric_stove_62,young_couple,electric_stove,0.96,24,2024-01-23 19:00:00,2024-01-23 19:24:00,2024-01-23 19:00:00,2024-01-23 19:24:00,0,none
dishwasher_63,young_couple,dishwasher,1.66,83,2024-01-23 22:30:00,2024-01-23 23:53:00,2024-01-23 22:30:00,2024-01-24 11:53:00,720,low
ev_charger_level2_64,young_couple,ev_charger_level2,21.72,181,2024-01-24 02:10:00,2024-01-24 05:11:00,2024-01-24 02:10:00,2024-01-24 13:11:00,480,medium
electric_stove_65,young_couple,electric_stove,0.68,17,2024-01-24 19:40:00,2024-01-24 19:57:00,2024-01-24 19:40:00,2024-01-24 19:57:00,0,none
dishwasher_66,young_couple,dishwasher,1.86,93,2024-01-24 22:20:00,2024-01-24 23:53:00,2024-01-24 22:20:00,2024-01-25 11:53:00,720,low
ev_charger_level2_67,young_couple,ev_charger_level2,24.24,202,2024-01-25 01:20:00,2024-01-25 04:42:00,2024-01-25 01:20:00,2024-01-25 12:42:00,480,medium
electric_stove_68,young_couple,electric_stove,0.84,21,2024-01-25 19:20:00,2024-01-25 19:41:00,2024-01-25 19:20:00,2024-01-25 19:41:00,0,none
washing_machine_69,young_couple,washing_machine,0.5167,62,2024-01-25 19:50:00,2024-01-25 20:52:00,2024-01-25 19:50:00,2024-01-26 02:52:00,360,low
dishwasher_70,young_couple,dishwasher,1.82,91,2024-01-25 22:10:00,2024-01-25 23:41:00,2024-01-25 22:10:00,2024-01-26 11:41:00,720,low
ev_charger_level2_71,young_couple,ev_charger_level2,23.64,197,2024-01-26 03:00:00,2024-01-26 06:17:00,2024-01-26 03:00:00,2024-01-26 14:17:00,480,medium
electric_stove_72,young_couple,electric_stove,1.0,25,2024-01-26 18:10:00,2024-01-26 18:35:00,2024-01-26 18:10:00,2024-01-26 18:35:00,0,none
dishwasher_73,young_couple,dishwasher,1.96,98,2024-01-26 21:50:00,2024-01-26 23:28:00,2024-01-26 21:50:00,2024-01-27 11:28:00,720,low
vacuum_cleaner_74,young_couple,vacuum_cleaner,0.44,22,2024-01-27 11:30:00,2024-01-27 11:52:00,2024-01-27 11:30:00,2024-01-27 11:52:00,0,none
washing_machine_75,young_couple,washing_machine,0.425,51,2024-01-27 12:10:00,2024-01-27 13:01:00,2024-01-27 12:10:00,2024-01-27 19:01:00,360,low
dryer_76,young_couple,dryer,2.5,50,2024-01-27 14:00:00,2024-01-27 14:50:00,2024-01-27 14:00:00,2024-01-27 20:50:00,360,low
oven_77,young_couple,oven,1.72,43,2024-01-27 18:20:00,2024-01-27 19:03:00,2024-01-27 18:20:00,2024-01-27 19:03:00,0,none
electric_stove_78,young_couple,electric_stove,0.96,24,2024-01-27 19:00:00,2024-01-27 19:24:00,2024-01-27 19:00:00,2024-01-27 19:24:00,0,none
vacuum_cleaner_79,young_couple,vacuum_cleaner,0.48,24,2024-01-28 14:10:00,2024-01-28 14:34:00,2024-01-28 14:10:00,2024-01-28 14:34:00,0,none
oven_80,young_couple,oven,1.6,40,2024-01-28 18:40:00,2024-01-28 19:20:00,2024-01-28 18:40:00,2024-01-28 19:20:00,0,none
electric_stove_81,young_couple,electric_stove,0.76,19,2024-01-28 19:00:00,2024-01-28 19:19:00,2024-01-28 19:00:00,2024-01-28 19:19:00,0,none
washing_machine_82,young_couple,washing_machine,0.625,75,2024-01-28 20:50:00,2024-01-28 22:05:00,2024-01-28 20:50:00,2024-01-29 04:05:00,360,low
ev_charger_level2_83,young_couple,ev_charger_level2,24.6,205,2024-01-28 21:40:00,2024-01-29 01:05:00,2024-01-28 21:40:00,2024-01-29 09:05:00,480,medium
dryer_84,young_couple,dryer,2.05,41,2024-01-29 01:10:00,2024-01-29 01:51:00,2024-01-29 01:10:00,2024-01-29 07:51:00,360,low
electric_stove_85,young_couple,electric_stove,0.96,24,2024-01-29 18:20:00,2024-01-29 18:44:00,2024-01-29 18:20:00,2024-01-29 18:44:00,0,none
ev_charger_level2_86,young_couple,ev_charger_level2,21.24,177,2024-01-30 01:00:00,2024-01-30 03:57:00,2024-01-30 01:00:00,2024-01-30 11:57:00,480,medium
washing_machine_87,young_couple,washing_machine,0.4667,56,2024-01-30 09:10:00,2024-01-30 10:06:00,2024-01-30 09:10:00,2024-01-30 16:06:00,360,low
