Electricity.Timestep,Time,HH1 - Kitchen - Dishwasher NEFF SD6P1F (2011) [kWh],HH1 - Kitchen - Dryer / Miele T 8626 WP [kWh],HH1 - Garden - Hedge Trimmer / Bosch AHS 550-24 ST [kWh],HH1 - Garden - Atika LH 2500 G [kWh],HH1 - Garden - Lawn Mower / Sabo 32-EL [kWh],HH1 - Kitchen - Washing Machine / Bosch WAE 28143 [kWh],HH1 - Bath - Hair Dryer Braun Silencio 1250 [kWh],HH1 - Kitchen - Vacuum Cleaner Robot / iRobot Roomba 555 [kWh],HH1 - Kitchen - Vacuum Cleaner Robot / iRobot Roomba 555 [kWh].1,HH1 - Kitchen - Vacuum Cleaner Robot / iRobot Roomba 555 [kWh].2,HH1 - Kitchen - Vacuum Cleaner Robot / iRobot Roomba 555 [kWh].3
0,1/1/2016 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030276310174808,0
60,1/1/2016 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029705706426634,0
120,1/1/2016 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029716010316432,0
180,1/1/2016 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029244820676721,0
240,1/1/2016 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029909071365364,0
300,1/1/2016 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029582501894354,0
360,1/1/2016 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029855903734259,0
420,1/1/2016 07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029660560917005,0
480,1/1/2016 08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029829313334174,0
540,1/1/2016 09:00,0.004591271273224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0030510647497034,0
600,1/1/2016 10:00,0.72218533,0.0,0.0,0.0,0.0,0.536472188375702,0.0,0.0,0,0.0029963742805458,0
660,1/1/2016 11:00,0.118312443483606,0.0,0.0,0.0,0.0,0.108512481017238,0.0,0.0,0,0.0029340088659596,0
720,1/1/2016 12:00,0.0018818639672131,0.0,0.0,0.0,0.0,0.011423649905918,0.0,0.0,0,0.0029959165571673,0
780,1/1/2016 13:00,0.0,0.229561699103268,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0029679200991813,0
