timestamp,Load_kW,PV_forecast_kW,Price_EUR_kWh,Grid_Import_kW,Grid_Export_kW,PV_Self_kW,PV_Charge_kW,PV_Curtail_kW,Bat_Ch_kW,Bat_Dis_kW,SOC_kWh
2025-01-01 00:00:00,40.075,0.0416,0.1065,40.0609,0.0,0.0142,0.0274,0.0,0.0274,0.0,25.0
2025-01-01 01:00:00,44.4289,0.0416,0.1065,44.4147,0.0,0.0142,0.0274,0.0,0.0274,0.0,25.0267
2025-01-01 02:00:00,46.823,0.0416,0.1065,46.8088,0.0,0.0142,0.0274,0.0,0.0274,0.0,25.0534
2025-01-01 03:00:00,39.8313,0.0416,0.1065,39.8171,0.0,0.0142,0.0274,0.0,0.0274,0.0,25.0801
2025-01-01 04:00:00,45.5918,0.0416,0.1065,45.5776,0.0,0.0142,0.0274,0.0,0.0274,0.0,25.1067
2025-01-01 05:00:00,38.6085,0.0443,0.1065,38.5934,0.0,0.0151,0.0292,0.0,0.0292,0.0,25.1334
2025-01-01 06:00:00,46.2182,0.0476,0.1065,46.2019,0.0,0.0163,0.0313,0.0,0.0313,0.0,25.1618
2025-01-01 07:00:00,41.3223,0.0565,0.1065,41.3029,0.0,0.0194,0.0371,0.0,0.0371,0.0,25.1923
2025-01-01 08:00:00,48.7297,0.1449,0.1065,48.6788,0.0,0.0509,0.0939,0.0,0.0939,0.0,25.2285
2025-01-01 09:00:00,56.434,7.7351,0.1065,50.5592,0.0,5.8748,1.8603,0.0,1.8603,0.0,25.3201
2025-01-01 10:00:00,43.1848,12.9737,0.1065,32.3252,0.0,10.8597,2.114,0.0,2.114,0.0,27.1333
2025-01-01 11:00:00,55.2878,14.3311,0.1065,43.2183,0.0,12.0696,2.2616,0.0,2.2616,0.0,29.1938
2025-01-01 12:00:00,61.2361,17.8188,0.1065,45.9227,0.0,15.3134,2.5055,0.0,2.5055,0.0,31.3981
2025-01-01 13:00:00,51.4159,18.0203,0.1065,36.221,0.0,15.1949,2.8254,0.0,2.8254,0.0,33.8401
2025-01-01 14:00:00,52.0434,15.9658,0.1065,39.3318,0.0,12.7116,3.2542,0.0,3.2542,0.0,36.594
2025-01-01 15:00:00,42.3996,10.2984,0.1065,35.8866,0.0,6.513,3.7854,0.0,3.7854,0.0,39.7658
2025-01-01 16:00:00,46.3484,5.907,0.1065,44.1052,0.0,2.2432,3.6638,0.0,3.6638,0.0,43.4554
2025-01-01 17:00:00,41.4035,0.11,0.1065,41.3681,0.0,0.0354,0.0746,0.0,0.0746,0.0,47.0264
2025-01-01 18:00:00,51.4875,0.0405,0.1065,51.4744,0.0,0.0131,0.0275,0.0,0.0275,0.0,47.0991
2025-01-01 19:00:00,48.0111,0.0416,0.1065,47.9981,0.0,0.013,0.0286,0.0,0.0286,0.0,47.1259
2025-01-01 20:00:00,64.5486,0.0416,0.1065,64.5361,0.0,0.0126,0.029,0.0,0.029,0.0,47.1537
2025-01-01 21:00:00,51.1053,0.0416,0.1065,51.0931,0.0,0.0122,0.0294,0.0,0.0294,0.0,47.182
2025-01-01 22:00:00,39.603,0.0416,0.1065,39.5912,0.0,0.0117,0.0298,0.0,0.0298,0.0,47.2106
2025-01-01 23:00:00,45.4208,0.0416,0.1065,45.4095,0.0,0.0113,0.0303,0.0,0.0303,0.0,47.2397
2025-01-02 00:00:00,40.6518,0.0416,0.1065,40.6411,0.0,0.0107,0.0308,0.0,0.0308,0.0,47.2692
2025-01-02 01:00:00,58.2605,0.0416,0.1065,58.2503,0.0,0.0102,0.0314,0.0,0.0314,0.0,47.2993
2025-01-02 02:00:00,40.6111,0.0416,0.1065,40.6015,0.0,0.0096,0.032,0.0,0.032,0.0,47.3299
2025-01-02 03:00:00,55.9502,0.0409,0.1065,55.9414,0.0,0.0088,0.0321,0.0,0.0321,0.0,47.3611
2025-01-02 04:00:00,81.7894,0.0407,0.1065,81.7816,0.0,0.0078,0.0328,0.0,0.0328,0.0,47.3924
2025-01-02 05:00:00,74.1133,0.0434,0.1065,74.1063,0.0,0.0071,0.0363,0.0,0.0363,0.0,47.4244
2025-01-02 06:00:00,62.1472,0.0468,0.1065,62.1417,0.0,0.0055,0.0413,0.0,0.0413,0.0,47.4597
2025-01-02 07:00:00,39.1139,0.049,0.1205,39.0649,0.0,0.049,0.0,0.0,0.0,0.0,47.5
2025-01-02 08:00:00,47.5239,0.0709,0.1299,39.8069,0.0,0.0709,0.0,0.0,0.0,7.646,47.5
2025-01-02 09:00:00,45.2361,1.9667,0.1299,39.5652,0.0,1.9667,0.0,0.0,0.0,3.7043,39.6553
2025-01-02 10:00:00,42.6915,4.2019,0.1299,35.8833,0.0,4.2019,0.0,0.0,0.0,2.6063,35.8548
2025-01-02 11:00:00,48.2617,3.0642,0.1299,43.0675,0.0,3.0642,0.0,0.0,0.0,2.13,33.1808
2025-01-02 12:00:00,39.3579,2.9775,0.1299,34.5718,0.0,2.9775,0.0,0.0,0.0,1.8087,30.9955
2025-01-02 13:00:00,50.9831,3.0652,0.1299,46.2689,0.0,3.0652,0.0,0.0,0.0,1.649,29.1398
2025-01-02 14:00:00,47.6719,4.2909,0.1299,41.8696,0.0,4.2909,0.0,0.0,0.0,1.5114,27.4479
2025-01-02 15:00:00,50.5415,3.3054,0.1299,45.8136,0.0,3.3054,0.0,0.0,0.0,1.4226,25.8972
2025-01-02 16:00:00,47.2232,2.4691,0.1299,43.4067,0.0,2.4691,0.0,0.0,0.0,1.3474,24.4377
2025-01-02 17:00:00,42.5452,0.0024,0.1299,41.252,0.0,0.0024,0.0,0.0,0.0,1.2908,23.0553
2025-01-02 18:00:00,62.2779,0.0398,0.1299,60.9617,0.0,0.0398,0.0,0.0,0.0,1.2764,21.7309
2025-01-02 19:00:00,50.3812,0.0407,0.1205,50.3812,0.0,0.0,0.0407,0.0,0.0407,0.0,20.4214
2025-01-02 20:00:00,58.7905,0.0409,0.1205,58.7905,0.0,0.0,0.0409,0.0,0.0409,0.0,20.461
2025-01-02 21:00:00,49.5235,0.0409,0.1205,49.5235,0.0,0.0,0.0409,0.0,0.0409,0.0,20.5009
2025-01-02 22:00:00,52.8652,0.0409,0.1205,52.8652,0.0,0.0,0.0409,0.0,0.0409,0.0,20.5407
2025-01-02 23:00:00,58.8656,0.0409,0.1065,58.8656,0.0,0.0,0.0409,0.0,0.0409,0.0,20.5805
2025-01-03 00:00:00,50.1391,0.0409,0.1065,50.1391,0.0,0.0,0.0409,0.0,0.0409,0.0,20.6203
2025-01-03 01:00:00,49.8817,0.0409,0.1065,49.8817,0.0,0.0,0.0409,0.0,0.0409,0.0,20.6602
2025-01-03 02:00:00,49.8898,0.0409,0.1065,49.8898,0.0,0.0,0.0409,0.0,0.0409,0.0,20.7
2025-01-03 03:00:00,47.7429,0.0407,0.1065,47.7429,0.0,0.0,0.0407,0.0,0.0407,0.0,20.7398
2025-01-03 04:00:00,45.3405,0.0407,0.1065,45.3405,0.0,0.0,0.0407,0.0,0.0407,0.0,20.7795
2025-01-03 05:00:00,39.3828,0.0436,0.1065,39.3828,0.0,0.0,0.0436,0.0,0.0436,0.0,20.8191
2025-01-03 06:00:00,46.2426,0.0468,0.1065,46.2426,0.0,0.0,0.0468,0.0,0.0468,0.0,20.8616
2025-01-03 07:00:00,44.4485,0.0511,0.1205,44.4485,0.0,0.0,0.0511,0.0,0.0511,0.0,20.9072
2025-01-03 08:00:00,46.3622,0.1025,0.1299,45.1711,0.0,0.1025,0.0,0.0,0.0,1.0886,20.957
2025-01-03 09:00:00,39.207,4.5757,0.1299,33.5499,0.0,4.5757,0.0,0.0,0.0,1.0814,19.8402
2025-01-03 10:00:00,45.767,6.5975,0.1299,38.0712,0.0,6.5975,0.0,0.0,0.0,1.0983,18.7307
2025-01-03 11:00:00,46.0355,10.9412,0.1299,33.9731,0.0,10.9412,0.0,0.0,0.0,1.1211,17.6038
2025-01-03 12:00:00,39.7879,19.1857,0.1299,19.4693,0.0,19.1857,0.0,0.0,0.0,1.133,16.4535
2025-01-03 13:00:00,50.5959,18.9786,0.1299,30.4026,0.0,18.9786,0.0,0.0,0.0,1.2147,15.2911
2025-01-03 14:00:00,43.4406,17.3958,0.1299,24.7604,0.0,17.3958,0.0,0.0,0.0,1.2843,14.0449
2025-01-03 15:00:00,44.9768,13.8024,0.1299,29.7466,0.0,13.8024,0.0,0.0,0.0,1.4278,12.7272
2025-01-03 16:00:00,40.4834,7.4723,0.1299,31.3506,0.0,7.4723,0.0,0.0,0.0,1.6604,11.2623
2025-01-03 17:00:00,44.8869,0.0733,0.1299,42.6064,0.0,0.0733,0.0,0.0,0.0,2.2072,9.5587
2025-01-03 18:00:00,58.0905,0.0396,0.1299,53.3781,0.0,0.0396,0.0,0.0,0.0,4.6728,7.2942
2025-01-03 19:00:00,51.6754,0.0407,0.1205,51.6347,0.0,0.0407,0.0,0.0,0.0,0.0,2.5
2025-01-03 20:00:00,46.9088,0.0407,0.1205,46.8681,0.0,0.0407,0.0,0.0,0.0,0.0,2.5
2025-01-03 21:00:00,45.0514,0.0409,0.1205,45.0105,0.0,0.0409,0.0,0.0,0.0,0.0,2.5
2025-01-03 22:00:00,66.6944,0.0409,0.1205,66.6535,0.0,0.0409,0.0,0.0,0.0,0.0,2.5
2025-01-03 23:00:00,79.8864,0.0416,0.1065,79.8864,0.0,0.0,0.0416,0.0,0.0416,0.0,2.5
2025-01-04 00:00:00,84.7436,0.0416,0.1065,84.7436,0.0,0.0,0.0416,0.0,0.0416,0.0,2.5405
2025-01-04 01:00:00,51.9628,0.0416,0.1065,51.9628,0.0,0.0,0.0416,0.0,0.0416,0.0,2.5811
2025-01-04 02:00:00,39.3775,0.0416,0.1065,39.3775,0.0,0.0,0.0416,0.0,0.0416,0.0,2.6216
2025-01-04 03:00:00,45.6546,0.0416,0.1065,45.6546,0.0,0.0,0.0416,0.0,0.0416,0.0,2.6621
2025-01-04 04:00:00,40.1466,0.0416,0.1065,40.1466,0.0,0.0,0.0416,0.0,0.0416,0.0,2.7026
