Latitude (decimal degrees):	45.045
Longitude (decimal degrees):	7.636
Elevation (m):	262
Radiation database:	PVGIS-SARAH3


Slope: 41 deg. (optimum)
Azimuth: -1 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	31.8
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0010,0.0,0.0,0.0,0.0,0.0,2.55,0.14,0.0
20180101:0110,0.0,0.0,0.0,0.0,0.0,2.34,0.28,0.0
20180101:0210,0.0,0.0,0.0,0.0,0.0,2.31,0.07,0.0
20180101:0310,0.0,0.0,0.0,0.0,0.0,2.29,0.34,0.0
20180101:0410,0.0,0.0,0.0,0.0,0.0,2.35,0.48,0.0
20180101:0510,0.0,0.0,0.0,0.0,0.0,2.26,0.69,0.0
20180101:0610,0.0,0.0,0.0,0.0,0.0,2.55,0.62,0.0
20180101:0710,0.0,0.0,0.0,0.0,0.0,2.82,0.07,0.0
20180101:0810,2677.8,49.31,59.97,1.64,7.84,2.52,0.28,0.0
20180101:0910,3757.93,40.1,105.9,3.03,14.62,3.45,0.48,0.0
20180101:1010,5254.94,52.7,145.74,4.22,19.41,5.07,0.55,0.0
20180101:1110,18529.62,511.58,185.66,8.13,21.76,6.89,0.62,0.0
20180101:1210,12827.95,271.26,203.87,6.74,21.4,8.5,0.83,0.0
20180101:1310,4311.33,38.24,130.65,3.76,18.39,9.57,1.03,0.0
20180101:1410,8206.74,182.67,125.14,3.81,13.05,9.62,0.9,0.0
20180101:1510,5243.2,147.34,57.99,1.54,5.84,8.71,0.97,0.0
20180101:1610,0.0,0.0,0.0,0.0,0.0,7.71,0.48,0.0
20180101:1710,0.0,0.0,0.0,0.0,0.0,6.19,0.07,0.0
20180101:1810,0.0,0.0,0.0,0.0,0.0,4.0,1.03,0.0
20180101:1910,0.0,0.0,0.0,0.0,0.0,4.13,0.76,0.0
20180101:2010,0.0,0.0,0.0,0.0,0.0,3.19,0.34,0.0
20180101:2110,0.0,0.0,0.0,0.0,0.0,2.71,0.41,0.0
20180101:2210,0.0,0.0,0.0,0.0,0.0,2.05,0.76,0.0
20180101:2310,0.0,0.0,0.0,0.0,0.0,1.61,0.83,0.0
20180102:0010,0.0,0.0,0.0,0.0,0.0,0.85,1.03,0.0
20180102:0110,0.0,0.0,0.0,0.0,0.0,1.33,0.83,0.0
20180102:0210,0.0,0.0,0.0,0.0,0.0,-0.4,1.31,0.0
20180102:0310,0.0,0.0,0.0,0.0,0.0,-2.33,2.21,0.0
20180102:0410,0.0,0.0,0.0,0.0,0.0,-2.04,2.48,0.0
20180102:0510,0.0,0.0,0.0,0.0,0.0,-1.91,2.55,0.0
20180102:0610,0.0,0.0,0.0,0.0,0.0,-1.83,2.69,0.0
20180102:0710,0.0,0.0,0.0,0.0,0.0,-1.29,2.62,0.0
20180102:0810,11447.78,335.76,71.6,2.76,7.86,-0.6,2.48,0.0
20180102:0910,18199.42,565.42,92.07,5.93,14.65,2.82,2.07,0.0
20180102:1010,20977.86,663.21,119.36,8.03,19.46,7.09,1.93,0.0
20180102:1110,22340.89,712.78,131.93,9.08,21.83,9.22,2.21,0.0
20180102:1210,22214.52,715.44,124.1,8.96,21.5,9.84,2.41,0.0
20180102:1310,19243.99,604.23,124.52,7.47,18.51,10.45,1.59,0.0
20180102:1410,14902.82,458.08,101.42,5.03,13.17,9.44,0.9,0.0
20180102:1510,8793.16,284.58,53.05,1.95,5.97,9.8,0.55,0.0
20180102:1610,0.0,0.0,0.0,0.0,0.0,9.08,0.83,0.0
20180102:1710,0.0,0.0,0.0,0.0,0.0,7.9,1.17,0.0
20180102:1810,0.0,0.0,0.0,0.0,0.0,6.33,1.38,0.0
20180102:1910,0.0,0.0,0.0,0.0,0.0,7.34,1.1,0.0
20180102:2010,0.0,0.0,0.0,0.0,0.0,6.45,1.03,0.0
20180102:2110,0.0,0.0,0.0,0.0,0.0,5.97,0.62,0.0
20180102:2210,0.0,0.0,0.0,0.0,0.0,5.67,0.9,0.0
20180102:2310,0.0,0.0,0.0,0.0,0.0,5.52,0.97,0.0
20180103:0010,0.0,0.0,0.0,0.0,0.0,5.1,0.76,0.0
20180103:0110,0.0,0.0,0.0,0.0,0.0,4.44,0.41,0.0
