Latitude (decimal degrees):	45.044
Longitude (decimal degrees):	7.639
Elevation (m):	257
Radiation database:	PVGIS-ERA5


Slope: 42 deg. (optimum)
Azimuth: -3 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	83.2
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0030,0.0,0.0,0.0,0.0,0.0,2.55,0.14,0.0
20180101:0130,0.0,0.0,0.0,0.0,0.0,2.34,0.28,0.0
20180101:0230,0.0,0.0,0.0,0.0,0.0,2.31,0.07,0.0
20180101:0330,0.0,0.0,0.0,0.0,0.0,2.29,0.34,0.0
20180101:0430,0.0,0.0,0.0,0.0,0.0,2.35,0.48,0.0
20180101:0530,0.0,0.0,0.0,0.0,0.0,2.26,0.69,0.0
20180101:0630,0.0,0.0,0.0,0.0,0.0,2.55,0.62,0.0
20180101:0730,4321.51,57.22,17.56,0.51,2.38,2.82,0.07,0.0
20180101:0830,26550.09,283.85,84.11,3.22,10.22,2.52,0.28,0.0
20180101:0930,39882.58,446.83,107.72,5.76,16.41,3.45,0.48,0.0
20180101:1030,50718.4,578.01,146.01,8.17,20.45,5.07,0.55,0.0
20180101:1130,53864.42,646.6,133.68,8.94,21.94,6.89,0.62,0.0
20180101:1230,51830.62,618.36,132.73,8.53,20.71,8.5,0.83,0.0
20180101:1330,44989.96,533.7,112.2,6.85,16.9,9.57,1.03,0.0
20180101:1430,30931.54,356.5,85.55,4.0,10.89,9.62,0.9,0.0
20180101:1530,5238.09,70.1,20.58,0.67,3.19,8.71,0.97,0.0
20180101:1630,0.0,0.0,0.0,0.0,0.0,7.71,0.48,0.0
20180101:1730,0.0,0.0,0.0,0.0,0.0,6.19,0.07,0.0
20180101:1830,0.0,0.0,0.0,0.0,0.0,4.0,1.03,0.0
20180101:1930,0.0,0.0,0.0,0.0,0.0,4.13,0.76,0.0
20180101:2030,0.0,0.0,0.0,0.0,0.0,3.19,0.34,0.0
20180101:2130,0.0,0.0,0.0,0.0,0.0,2.71,0.41,0.0
20180101:2230,0.0,0.0,0.0,0.0,0.0,2.05,0.76,0.0
20180101:2330,0.0,0.0,0.0,0.0,0.0,1.61,0.83,0.0
20180102:0030,0.0,0.0,0.0,0.0,0.0,0.85,1.03,0.0
20180102:0130,0.0,0.0,0.0,0.0,0.0,1.33,0.83,0.0
20180102:0230,0.0,0.0,0.0,0.0,0.0,-0.4,1.31,0.0
20180102:0330,0.0,0.0,0.0,0.0,0.0,-2.33,2.21,0.0
20180102:0430,0.0,0.0,0.0,0.0,0.0,-2.04,2.48,0.0
20180102:0530,0.0,0.0,0.0,0.0,0.0,-1.91,2.55,0.0
20180102:0630,0.0,0.0,0.0,0.0,0.0,-1.83,2.69,0.0
20180102:0730,12196.12,153.79,24.29,0.72,2.38,-1.29,2.62,0.0
20180102:0830,32958.67,347.7,94.89,3.7,10.24,-0.6,2.48,0.0
20180102:0930,48423.2,544.38,121.93,6.72,16.45,2.82,2.07,0.0
20180102:1030,58190.92,709.89,122.26,9.02,20.52,7.09,1.93,0.0
20180102:1130,57139.47,681.41,139.68,9.38,22.03,9.22,2.21,0.0
20180102:1230,42236.06,409.66,185.12,7.65,20.81,9.84,2.41,0.0
20180102:1330,31598.37,292.29,154.65,5.76,17.01,10.45,1.59,0.0
20180102:1430,29501.3,329.3,91.7,3.95,11.02,9.44,0.9,0.0
20180102:1530,6936.39,92.25,23.23,0.77,3.32,9.8,0.55,0.0
20180102:1630,0.0,0.0,0.0,0.0,0.0,9.08,0.83,0.0
20180102:1730,0.0,0.0,0.0,0.0,0.0,7.9,1.17,0.0
20180102:1830,0.0,0.0,0.0,0.0,0.0,6.33,1.38,0.0
20180102:1930,0.0,0.0,0.0,0.0,0.0,7.34,1.1,0.0
20180102:2030,0.0,0.0,0.0,0.0,0.0,6.45,1.03,0.0
20180102:2130,0.0,0.0,0.0,0.0,0.0,5.97,0.62,0.0
20180102:2230,0.0,0.0,0.0,0.0,0.0,5.67,0.9,0.0
20180102:2330,0.0,0.0,0.0,0.0,0.0,5.52,0.97,0.0
20180103:0030,0.0,0.0,0.0,0.0,0.0,5.1,0.76,0.0
