latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.02636,7.6863356,253.0,3600,Europe/Berlin,GMT+1

time,temperature_2m (°C),global_tilted_irradiance (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),shortwave_radiation (W/m²),wind_speed_10m (m/s),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%)
2018-01-01T00:00,2.3,0.0,0.0,0.0,0.0,1.36,100,100,10,0
2018-01-01T01:00,3.1,0.0,0.0,0.0,0.0,1.94,99,100,36,32
2018-01-01T02:00,2.8,0.0,0.0,0.0,0.0,1.70,100,100,25,92
2018-01-01T03:00,2.8,0.0,0.0,0.0,0.0,0.95,100,100,26,4
2018-01-01T04:00,2.8,0.0,0.0,0.0,0.0,1.66,99,97,84,0
2018-01-01T05:00,3.0,0.0,0.0,0.0,0.0,0.95,100,92,100,0
2018-01-01T06:00,2.8,0.0,0.0,0.0,0.0,0.64,100,92,100,13
2018-01-01T07:00,2.8,0.0,0.0,0.0,0.0,0.50,100,70,100,50
2018-01-01T08:00,2.8,0.0,0.0,0.0,0.0,0.80,100,76,100,38
2018-01-01T09:00,3.0,13.0,13.0,0.0,13.0,1.40,93,89,43,9
2018-01-01T10:00,3.5,92.0,64.0,158.2,92.0,1.30,100,100,2,0
2018-01-01T11:00,4.2,195.0,91.0,369.2,195.0,2.24,61,61,0,0
2018-01-01T12:00,6.7,284.0,92.0,550.9,284.0,2.31,17,17,0,0
2018-01-01T13:00,9.1,346.0,80.0,713.6,346.0,1.70,6,2,0,0
2018-01-01T14:00,10.6,331.0,73.0,731.3,331.0,0.64,1,1,0,0
2018-01-01T15:00,10.8,261.0,62.0,686.1,261.0,1.39,2,2,0,1
2018-01-01T16:00,9.1,153.0,46.0,567.0,153.0,1.10,100,1,68,100
2018-01-01T17:00,4.3,25.0,22.0,30.0,25.0,2.27,98,0,18,98
2018-01-01T18:00,4.3,0.0,0.0,0.0,0.0,1.97,97,0,70,96
2018-01-01T19:00,3.7,0.0,0.0,0.0,0.0,1.57,98,0,8,98
2018-01-01T20:00,2.7,0.0,0.0,0.0,0.0,1.90,40,0,2,39
2018-01-01T21:00,1.1,0.0,0.0,0.0,0.0,1.66,48,1,0,47
2018-01-01T22:00,-0.1,0.0,0.0,0.0,0.0,2.02,26,5,0,23
2018-01-01T23:00,1.2,0.0,0.0,0.0,0.0,1.33,53,49,2,11
2018-01-02T00:00,-0.6,0.0,0.0,0.0,0.0,1.20,100,100,0,0
2018-01-02T01:00,2.6,0.0,0.0,0.0,0.0,0.22,76,14,3,10
