latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.09666,7.6982894,239.0,0,GMT,GMT

time,temperature_2m (°C),direct_normal_irradiance (W/m²),diffuse_radiation (W/m²),wind_speed_10m (km/h),shortwave_radiation (W/m²)
2025-01-01T00:00,0.4,0.0,0.0,0.7,0.0
2025-01-01T01:00,-1.2,0.0,0.0,0.6,0.0
2025-01-01T02:00,-1.7,0.0,0.0,3.4,0.0
2025-01-01T03:00,-1.9,0.0,0.0,1.9,0.0
2025-01-01T04:00,-2.0,0.0,0.0,0.5,0.0
2025-01-01T05:00,-2.2,0.0,0.0,0.4,0.0
2025-01-01T06:00,-2.5,0.0,0.0,0.7,0.0
2025-01-01T07:00,-2.3,0.0,0.0,0.5,0.0
2025-01-01T08:00,-1.2,107.5,12.0,1.0,22.0
2025-01-01T09:00,0.2,340.2,49.0,1.5,109.0
2025-01-01T10:00,3.2,455.4,75.0,1.8,203.0
2025-01-01T11:00,5.4,508.9,96.0,1.6,273.0
2025-01-01T12:00,6.8,542.9,106.0,2.2,308.0
2025-01-01T13:00,7.0,485.5,88.0,2.7,259.0
2025-01-01T14:00,6.6,411.0,70.0,2.7,189.0
2025-01-01T15:00,4.8,345.1,50.0,2.5,115.0
2025-01-01T16:00,3.0,130.1,16.0,3.4,29.0
2025-01-01T17:00,2.0,0.0,0.0,3.5,0.0
2025-01-01T18:00,1.6,0.0,0.0,1.8,0.0
2025-01-01T19:00,1.1,0.0,0.0,1.2,0.0
2025-01-01T20:00,0.9,0.0,0.0,1.0,0.0
2025-01-01T21:00,1.1,0.0,0.0,0.9,0.0
2025-01-01T22:00,1.5,0.0,0.0,0.5,0.0
2025-01-01T23:00,1.5,0.0,0.0,0.4,0.0
2025-01-02T00:00,1.2,0.0,0.0,0.4,0.0
2025-01-02T01:00,0.9,0.0,0.0,1.9,0.0
2025-01-02T02:00,1.1,0.0,0.0,1.8,0.0
2025-01-02T03:00,1.0,0.0,0.0,1.7,0.0
2025-01-02T04:00,0.9,0.0,0.0,1.9,0.0
2025-01-02T05:00,0.9,0.0,0.0,2.3,0.0
2025-01-02T06:00,0.9,0.0,0.0,2.3,0.0
2025-01-02T07:00,0.8,0.0,0.0,3.7,0.0
2025-01-02T08:00,0.9,0.0,8.0,3.3,8.0
2025-01-02T09:00,1.3,11.3,32.0,2.8,34.0
2025-01-02T10:00,2.5,0.0,51.0,2.7,51.0
2025-01-02T11:00,3.4,0.0,65.0,3.1,65.0
2025-01-02T12:00,4.0,0.0,73.0,3.7,73.0
